Temp,Setpoint,Output,TempPWM,SetpointPWM,Status,,
37.12,37,40.78,67.32,67.23,hello,,
37.12,37,40.77,67.32,67.23,hello,,
37.12,37,40.76,67.32,67.23,hello,,
37.12,37,40.75,67.32,67.23,hello,,
37.12,37,40.74,67.32,67.23,hello,,
37.09,37,40.74,67.29,67.23,hello,,
37.09,37,51.24,67.29,67.23,hello,,
37.09,37,45.45,67.29,67.23,hello,,
37.09,37,45.45,67.29,67.23,hello,,
37.09,37,45.44,67.29,67.23,hello,,
37.05,37,45.43,67.27,67.23,hello,,
37.05,37,55.91,67.27,67.23,hello,,
37.05,37,50.14,67.27,67.23,hello,,
37.09,37,50.14,67.29,67.23,hello,,
37.09,37,39.65,67.29,67.23,hello,,
37.05,37,45.41,67.27,67.23,hello,,
37.02,37,55.89,67.24,67.23,hello,,
37.05,37,60.6,67.27,67.23,hello,,
37.02,37,44.35,67.24,67.23,hello,,
37.02,37,60.6,67.24,67.23,hello,,
37.05,37,54.83,67.27,67.23,hello,,
37.02,37,44.34,67.24,67.23,hello,,
37.02,37,60.59,67.24,67.23,hello,,
37.02,37,54.82,67.24,67.23,hello,,
37.02,37,54.82,67.24,67.23,hello,,
37.02,37,54.82,67.24,67.23,hello,,
36.99,37,54.82,67.22,67.23,hello,,
36.99,37,65.3,67.22,67.23,hello,,
37.02,37,59.54,67.24,67.23,hello,,
36.99,37,49.05,67.22,67.23,hello,,
36.99,37,65.3,67.22,67.23,hello,,
36.99,37,59.54,67.22,67.23,hello,,
36.99,37,59.54,67.22,67.23,hello,,
36.99,37,59.54,67.22,67.23,hello,,
36.99,37,59.54,67.22,67.23,hello,,
36.99,37,59.54,67.22,67.23,hello,,
36.95,37,59.54,67.19,67.23,hello,,
36.95,37,70.06,67.19,67.23,hello,,
36.95,37,64.28,67.19,67.23,hello,,
36.95,37,64.29,67.19,67.23,hello,,
36.95,37,64.29,67.19,67.23,hello,,
36.95,37,64.29,67.19,67.23,hello,,
36.92,37,64.3,67.16,67.23,hello,,
36.92,37,74.79,67.16,67.23,hello,,
36.95,37,69.03,67.19,67.23,hello,,
36.92,37,58.55,67.16,67.23,hello,,
36.88,37,74.8,67.14,67.23,hello,,
36.88,37,79.53,67.14,67.23,hello,,
36.92,37,73.77,67.16,67.23,hello,,
36.88,37,63.3,67.14,67.23,hello,,
36.88,37,79.55,67.14,67.23,hello,,
36.92,37,73.8,67.16,67.23,hello,,
36.88,37,63.32,67.14,67.23,hello,,
36.88,37,79.58,67.14,67.23,hello,,
36.88,37,73.82,67.14,67.23,hello,,
36.92,37,73.83,67.16,67.23,hello,,
36.88,37,63.35,67.14,67.23,hello,,
36.85,37,79.61,67.11,67.23,hello,,
36.85,37,84.37,67.11,67.23,hello,,
36.85,37,78.6,67.11,67.23,hello,,
36.85,37,78.61,67.11,67.23,hello,,
36.85,37,78.62,67.11,67.23,hello,,
36.85,37,78.64,67.11,67.23,hello,,
36.82,37,78.65,67.09,67.23,hello,,
36.85,37,89.14,67.11,67.23,hello,,
36.85,37,72.91,67.11,67.23,hello,,
36.85,37,78.68,67.11,67.23,hello,,
36.82,37,78.7,67.09,67.23,hello,,
36.82,37,89.19,67.09,67.23,hello,,
36.82,37,83.44,67.09,67.23,hello,,
36.78,37,83.46,67.06,67.23,hello,,
36.78,37,93.96,67.06,67.23,hello,,
36.82,37,88.21,67.09,67.23,hello,,
36.82,37,77.74,67.09,67.23,hello,,
36.78,37,83.52,67.06,67.23,hello,,
36.75,37,94.02,67.03,67.23,hello,,
36.78,37,98.79,67.06,67.23,hello,,
36.75,37,82.51,67.03,67.23,hello,,
36.78,37,98.82,67.06,67.23,hello,,
36.75,37,82.54,67.03,67.23,hello,,
