temp,Setpoint,,,
36.65,37,94.85,66.95,67.23
36.65,37,94.88,66.95,67.23
36.65,37,94.9,66.95,67.23
36.65,37,94.93,66.95,67.23
36.65,37,94.96,66.95,67.23
36.68,37,94.99,66.98,67.23
36.68,37,85.02,66.98,67.23
36.65,37,90.3,66.95,67.23
36.68,37,100.32,66.98,67.23
36.65,37,85.1,66.95,67.23
36.68,37,100.37,66.98,67.23
36.65,37,85.15,66.95,67.23
36.68,37,100.42,66.98,67.23
36.71,37,85.2,67.01,67.23
36.65,37,80.52,66.95,67.23
36.68,37,105.74,66.98,67.23
36.68,37,85.28,66.98,67.23
36.68,37,90.56,66.98,67.23
36.68,37,90.58,66.98,67.23
36.68,37,90.61,66.98,67.23
36.71,37,90.63,67.01,67.23
36.71,37,80.7,67.01,67.23
36.68,37,85.96,66.98,67.23
36.68,37,95.94,66.98,67.23
36.68,37,90.73,66.98,67.23
36.68,37,90.75,66.98,67.23
36.71,37,90.78,67.01,67.23
36.71,37,80.84,67.01,67.23
36.68,37,86.1,66.98,67.23
36.68,37,96.09,66.98,67.23
36.68,37,90.87,66.98,67.23
36.65,37,90.89,66.95,67.23
36.68,37,100.91,66.98,67.23
36.68,37,85.69,66.98,67.23
36.65,37,90.97,66.95,67.23
36.68,37,100.99,66.98,67.23
36.68,37,85.77,66.98,67.23
36.68,37,91.05,66.98,67.23
36.65,37,91.07,66.95,67.23
36.68,37,101.09,66.98,67.23
36.65,37,85.87,66.95,67.23
36.65,37,101.14,66.95,67.23
36.65,37,95.91,66.95,67.23
36.68,37,95.94,66.98,67.23
36.65,37,85.97,66.95,67.23
36.65,37,101.25,66.95,67.23
36.68,37,96.02,66.98,67.23
36.65,37,86.05,66.95,67.23
36.65,37,101.33,66.95,67.23
36.65,37,96.1,66.95,67.23
36.65,37,96.12,66.95,67.23
36.61,37,96.15,66.93,67.23
36.61,37,106.14,66.93,67.23
36.61,37,100.93,66.93,67.23
